79;BLOQUE FRENOSVEN 19-0245 IVECO 70C 16 5913;2;30;21,31;BLOQUES;FRENOSVEN
80;BLOQUE FRENOSVEN 19-0265 MIT CANTER 657 DL D 6511;4;45;32,94;BLOQUES;FRENOSVEN
81;BLOQUE FRENOSVEN 19-0267 MIT CANTER 657 TR D 6512;5;60;44,79;BLOQUES;FRENOSVEN
82;BLOQUE FRENOSVEN 19-0273 MIT FV 515 D 6526;0;62;44,79;BLOQUES;FRENOSVEN
83;BLOQUE FRENOSVEN 19-0275NPR 2005 D 6515 9144;1;27;18,56;BLOQUES;FRENOSVEN
84;BLOQUE FRENOSVEN 19-0279 PEGASO TR D 0311;2;55;34,80;BLOQUES;FRENOSVEN
85;BLOQUE FRENOSVEN 19-0311 ZN - 346 D 6546;2;52;36,42;BLOQUES;FRENOSVEN
86;BLOQUE FRENOSVEN 19-0317 ZN - 950 0275;0;57;40,19;BLOQUES;FRENOSVEN
87;BLOQUE FRENOSVEN 19-0325 ENCAVA DL D 606;14,5;24;15,08;BLOQUES;FRENOSVEN
88;BLOQUE FRENOSVEN 19-0332 ENCAVA TR D 614;10,5;25;16,24;BLOQUES;FRENOSVEN
89;BLOQUE FRENOSVEN 19-0337 HOWO TR 6588;1;63;44,13;BLOQUES;FRENOSVEN
90;BLOQUE FRENOSVEN 19-0341 6514 D VOLQUETA / CISTERNA YOSI;0;58;40,60;BLOQUES;FRENOSVEN
91;BLOQUE FRENOSVEN 19-0342 6618 D CAMION HOWO SINO TRUCK A7 42;0;63;44,08;BLOQUES;FRENOSVEN
92;BLOQUE FRENOSVEN 19-0344 6588 HOWO CHUTO JAC GALLOP HFC4253/4250 TRAS Y 3ER EJE;3;63;44,12;BLOQUES;FRENOSVEN
93;BLOQUE FRENOSVEN 19-0348 6514 CISTERNA YOSI PDVSA SINOTRUK;4;55;36,54;BLOQUES;FRENOSVEN
94;BLOQUE FRENOSVEN 19-0350 6518 CAMION HOWO SINO TRUCK A7 42CISTERNA YOSI PDVSA SINOTRUK;2;60;41,87;BLOQUES;FRENOSVEN
95;LAMINA FRENOSVEN 1/2 S.M 23-0025;0;34;23,72;LAMINAS;FRENOSVEN
96;LAMINA FRENOSVEN 1/4 S.M 23-0026;24;24;16,47;LAMINAS;FRENOSVEN
97;LAMINA FRENOSVEN 3/4 S.M 23-0029;9;60;41,73;LAMINAS;FRENOSVEN
98;LAMINA FRENOSVEN 3/8 S.M 23-0030;15;24;16,66;LAMINAS;FRENOSVEN
99;LAMINA FRENOSVEN 3/16 S.M 23-0031;1;17;11,77;LAMINAS;FRENOSVEN
100;LAMINA FRENOSVEN 5/16 S.M 23-0032;6;29;20,02;LAMINAS;FRENOSVEN
101;LAMINA FRENOSVEN 5/8 S.M 23-0033;2;44;30,24;LAMINAS;FRENOSVEN
102;LAMINA FRENOSVEN 7/16 S.M 23-00034;2;28;19,02;LAMINAS;FRENOSVEN
103;LAMINA FRENOSVEN 9/16 S.M 23-0035;8;39;27,12;LAMINAS;FRENOSVEN
104;ROLLO FRENOSVEN 1'  X  140 16-0090 5 MTS;0;10;7,13;ROLLOS;FRENOSVEN
105;ROLLO FRENOSVEN 1'  X  140 16-0002;2;16;11,75;ROLLOS;FRENOSVEN
106;ROLLO FRENOSVEN 1'  X  160 16-0003;0;15;11,14;ROLLOS;FRENOSVEN
107;ROLLO FRENOSVEN 1'  X  190 16-0004;0;17;12,53;ROLLOS;FRENOSVEN
108;ROLLO FRENOSVEN 1'  X  210 16-0005;2;19;13,75;ROLLOS;FRENOSVEN
109;ROLLO FRENOSVEN 1'  X  235 16-0085;4;20;14,88;ROLLOS;FRENOSVEN
110;ROLLO FRENOSVEN 1' 1/4  X  160 16-0012;3;17;12,53;ROLLOS;FRENOSVEN
111;ROLLO FRENOSVEN 1' 1/4  X  190 16-0013;0;20;14,60;ROLLOS;FRENOSVEN
112;ROLLO FRENOSVEN 1' 1/4  X  210 16-0014;1;22;16,48;ROLLOS;FRENOSVEN
113;ROLLO FRENOSVEN 1' 1/4  X  235 16-0015;2;24;17,45;ROLLOS;FRENOSVEN
114;ROLLO FRENOSVEN 1' 1/4  X  255 16-0016;1;25;18,10;ROLLOS;FRENOSVEN
115;ROLLO FRENOSVEN 1' 1/4  X  285 16-0017;0;30;22,40;ROLLOS;FRENOSVEN
116;ROLLO FRENOSVEN 1' 1/2  X  160 16-0006;0;19;13,92;ROLLOS;FRENOSVEN
117;ROLLO FRENOSVEN 1' 1/2  X  190 16-0007;1;23;16,67;ROLLOS;FRENOSVEN
118;ROLLO FRENOSVEN 1' 1/2  X  210 16-0008;8;24;17,50;ROLLOS;FRENOSVEN
